Plant_Code,Site,Bee_Count,Treatment_Code,Mold,Insecticide,Sugar,Paint,julDate,julWeek,Month,Day,Time,min_day,Temp_F,Wind_mph,Conditions,Barometric,Humidity,BranchTemp1,BranchTemp2,BranchTemp3,AvgBranchTempF,AvgBranchTempC
B13,B,0,55,0,0,0,1,94,14,Apr,3,10:57:00 AM,657,70,0,Full Sun,29,36,72,71,73,72,22.2
B13,B,1,55,0,0,0,1,94,14,Apr,3,2:57:00 PM,897,80,1,Partly Cloudy (>50% sun),29,27,,,,,
B14,B,0,55,0,0,0,1,94,14,Apr,3,11:41:00 AM,701,66,1,Full Sun,29,32,76,76,68,73.3,22.9
B14,B,2,55,0,0,0,1,94,14,Apr,3,2:52:00 PM,892,80,1,Partly Cloudy (>50% sun),29,27,,,,,
B15,B,0,55,0,0,0,1,94,14,Apr,3,12:00:00 PM,720,71,2,Full Sun,29,27,72,73,74,73,22.8
B15,B,0,55,0,0,0,1,94,14,Apr,3,2:23:00 PM,863,74,3,Full Sun,29,30,,,,,
B16,B,2,56,0,0,1,0,94,14,Apr,3,12:14:00 PM,734,71,2,Full Sun,29,27,73,76,75,74.7,23.7
B16,B,2,56,0,0,1,0,94,14,Apr,3,2:39:00 PM,879,74,3,Full Sun,29,30,,,,,
B17,B,0,56,0,0,1,0,94,14,Apr,3,11:13:00 AM,673,70,0,Full Sun,29,36,73,74,74,73.7,23.2
B17,B,3,56,0,0,1,0,94,14,Apr,3,2:13:00 PM,853,74,3,Full Sun,29,30,,,,,
B18,B,0,56,0,0,1,0,94,14,Apr,3,11:38:00 AM,698,66,1,Full Sun,29,32,76,74,74,74.7,23.7
B18,B,2,56,0,0,1,0,94,14,Apr,3,2:17:00 PM,857,74,3,Full Sun,29,30,,,,,
B19,B,0,57,0,0,1,1,94,14,Apr,3,11:11:00 AM,671,70,0,Full Sun,29,36,79,78,78,78.3,25.7
B19,B,1,57,0,0,1,1,94,14,Apr,3,2:33:00 PM,873,74,3,Full Sun,29,30,,,,,
B20,B,2,57,0,0,1,1,94,14,Apr,3,1:48:00 PM,828,80,1,Full Sun,29,27,78,77,78,77.7,25.4
B20,B,0,57,0,0,1,1,94,14,Apr,3,11:21:00 AM,681,70,0,Full Sun,29,36,,,,,
B21,B,1,57,0,0,1,1,94,14,Apr,3,1:51:00 PM,831,80,1,Full Sun,29,27,77,76,74,75.7,24.3
B21,B,0,57,0,0,1,1,94,14,Apr,3,11:19:00 AM,679,70,0,Full Sun,29,36,,,,,
A01,A,0,51,1,0,0,0,109,16,Apr,18,11:59:00 AM,719,77,0,Full Sun,28,32,78,67,67,70.7,21.5
A01,A,0,51,1,0,0,0,109,16,Apr,18,2:57:00 PM,897,73,1,Full Sun,28,38,,,,,
A01,A,0,51,1,0,0,0,109,16,Apr,18,3:15:00 PM,915,73,1,Full Sun,28,38,,,,,
A02,A,0,51,1,0,0,0,109,16,Apr,18,10:50:00 AM,650,73,0,Full Sun,28,29,69,69,69,69,20.6
A02,A,0,51,1,0,0,0,109,16,Apr,18,11:05:00 AM,665,73,0,Full Sun,28,29,,,,,
A02,A,0,51,1,0,0,0,109,16,Apr,18,3:22:00 PM,922,74,1,Partly Cloudy (>50% sun),28,37,,,,,
A03,A,0,51,1,0,0,0,109,16,Apr,18,11:35:00 AM,695,68,2,Full Sun,28,35,75,74,74,74.3,23.5
A03,A,0,51,1,0,0,0,109,16,Apr,18,2:25:00 PM,865,74,3,Full Sun,28,39,,,,,
A03,A,0,51,1,0,0,0,109,16,Apr,18,2:36:00 PM,876,74,3,Full Sun,28,39,,,,,
A04,A,0,52,1,1,0,0,109,16,Apr,18,12:10:00 PM,730,77,0,Full Sun,28,32,73,75,70,72.7,22.6
A04,A,0,52,1,1,0,0,109,16,Apr,18,2:18:00 PM,858,74,3,Full Sun,28,39,,,,,
A04,A,0,52,1,1,0,0,109,16,Apr,18,2:50:00 PM,890,73,1,Full Sun,28,38,,,,,
A05,A,0,52,1,1,0,0,109,16,Apr,18,10:40:00 AM,640,73,0,Full Sun,28,29,78,78,71,75.7,24.3
