Plant_Code,Site,Treatment_Code,Black,julDate,Month,Day,BranchTempF(orig),BranchTempC
C17,C,56,0,119,Apr,28,71,21.7
C18,C,56,0,119,Apr,28,81,27.2
C18,C,56,0,119,Apr,28,80,26.7
C18,C,56,0,119,Apr,28,79,26.1
C19,C,57,1,119,Apr,28,83,28.3
C19,C,57,1,119,Apr,28,82,27.8
C19,C,57,1,119,Apr,28,82,27.8
C20,C,57,1,119,Apr,28,79,26.1
C20,C,57,1,119,Apr,28,78,25.6
C20,C,57,1,119,Apr,28,78,25.6
C21,C,57,1,119,Apr,28,77,25
C21,C,57,1,119,Apr,28,77,25
C21,C,57,1,119,Apr,28,76,24.4
